event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_S_onset,trace_P_arrival_sample,trace_P_onset,trace_snr_db
pnsn3166678,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$0,:3,:18001",100,2021-08-02T03:17:19.000000Z,,,7000.000,emergent,23.922|19.759|28.482
pnsn3166673,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$1,:3,:18001",100,2021-08-02T03:06:44.000000Z,,,7000.000,emergent,nan|nan|18.054
pnsn3165628,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$2,:3,:18001",100,2021-07-26T12:37:35.000000Z,,,7000.000,impulsive,13.149|20.561|19.350
pnsn3165633,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$3,:3,:18001",100,2021-07-26T12:30:25.000000Z,,,7000.000,emergent,6.389|6.103|3.934
pnsn3162793,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$4,:3,:18001",100,2021-06-24T15:01:08.000000Z,,,7000.000,emergent,2.768|0.671|1.021
pnsn3162793,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$5,:3,:18001",100,2021-06-24T15:01:16.000000Z,,,7000.000,emergent,nan|nan|13.684
pnsn3162883,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$6,:3,:18001",100,2021-06-22T05:36:53.000000Z,,,7000.000,emergent,3.646|5.343|5.051
pnsn3162863,thunder,CC,BH,NORM,--,43.739,-121.253,1286.000,"bucket3$7,:3,:18001",100,2021-06-22T01:46:02.000000Z,,,7000.000,emergent,4.105|1.742|7.206
pnsn3162858,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$8,:3,:18001",100,2021-06-22T01:42:21.000000Z,,,7000.000,emergent,1.950|0.288|-1.169
pnsn3138083,thunder,CC,BH,KWBU,--,43.752,-121.312,1783.000,"bucket3$9,:3,:18001",100,2020-08-06T04:36:48.000000Z,,,7000.000,emergent,20.705|22.407|43.313
pnsn3138078,thunder,UW,EH,NN19,01,43.718,-121.307,1793.000,"bucket3$10,:3,:18001",100,2020-08-06T04:24:51.000000Z,,,7000.000,emergent,6.587|7.085|8.049
pnsn3130158,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$11,:3,:18001",100,2020-06-11T05:03:28.000000Z,,,7000.000,emergent,6.017|2.657|11.868
pnsn3131313,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$12,:3,:18001",100,2020-06-25T21:29:27.000000Z,,,7000.000,emergent,nan|nan|17.395
pnsn3128798,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$13,:3,:18001",100,2020-05-29T10:27:42.000000Z,,,7000.000,emergent,11.567|19.577|12.966
pnsn3128793,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$14,:3,:18001",100,2020-05-29T10:25:20.000000Z,,,7000.000,emergent,-1.994|3.592|5.890
pnsn3128788,thunder,UW,EH,NN19,01,43.718,-121.307,1793.000,"bucket3$15,:3,:18001",100,2020-05-29T10:23:52.000000Z,,,7000.000,emergent,12.919|11.452|17.175
pnsn3128778,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$16,:3,:18001",100,2020-05-29T10:21:23.000000Z,,,7000.000,emergent,-4.153|0.932|6.499
pnsn3128768,thunder,CC,BH,SVIC,--,43.643,-121.253,1765.000,"bucket3$17,:3,:18001",100,2020-05-29T10:17:27.000000Z,,,7000.000,emergent,-7.693|-5.681|0.506
pnsn3128763,thunder,CC,BH,SVIC,--,43.643,-121.253,1765.000,"bucket3$18,:3,:18001",100,2020-05-29T10:14:39.000000Z,,,7000.000,impulsive,7.842|8.468|22.832
pnsn3128758,thunder,CC,BH,KWBU,--,43.752,-121.312,1783.000,"bucket3$19,:3,:18001",100,2020-05-29T10:04:11.000000Z,,,7000.000,emergent,-1.130|-7.170|8.605
pnsn3127513,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$20,:3,:18001",100,2020-05-18T02:44:08.000000Z,,,7000.000,emergent,nan|nan|13.967
pnsn3127548,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$21,:3,:18001",100,2020-05-18T02:37:12.000000Z,,,7000.000,impulsive,nan|nan|20.795
pnsn3127543,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$22,:3,:18001",100,2020-05-18T02:34:40.000000Z,,,7000.000,emergent,nan|nan|28.566
pnsn3127538,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$23,:3,:18001",100,2020-05-18T02:31:05.000000Z,,,7000.000,emergent,nan|nan|24.172
pnsn3127533,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$24,:3,:18001",100,2020-05-18T02:27:53.000000Z,,,7000.000,emergent,nan|nan|28.731
pnsn3127528,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$25,:3,:18001",100,2020-05-18T02:25:22.000000Z,,,7000.000,impulsive,nan|nan|23.148
pnsn3127523,thunder,CC,BH,SVIC,--,43.643,-121.253,1765.000,"bucket3$26,:3,:18001",100,2020-05-18T02:16:02.000000Z,,,7000.000,emergent,8.796|4.853|11.311
pnsn3103563,thunder,CC,BH,OBSR,--,46.900,-121.815,2382.000,"bucket3$27,:3,:18001",100,2019-08-10T07:16:58.000000Z,,,7000.000,emergent,9.175|5.691|9.035
pnsn3104343,thunder,CC,BH,JRO,--,46.275,-122.218,1219.000,"bucket3$28,:3,:18001",100,2019-08-10T06:39:02.000000Z,,,7000.000,impulsive,21.601|23.785|31.992
pnsn3103548,thunder,PB,EH,B202,--,46.245,-122.137,1218.600,"bucket3$29,:3,:18001",100,2019-08-10T06:08:30.000000Z,,,7000.000,emergent,10.214|13.157|6.263
pnsn3104408,thunder,CC,EH,SVIC,--,43.643,-121.253,1765.000,"bucket3$30,:3,:18001",100,2019-08-09T04:46:58.000000Z,,,7000.000,emergent,13.173|14.402|13.792
pnsn3104403,thunder,CC,EH,SVIC,--,43.643,-121.253,1765.000,"bucket3$31,:3,:18001",100,2019-08-09T04:44:25.000000Z,,,7000.000,impulsive,1.827|2.038|0.663
pnsn3100128,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$32,:3,:18001",100,2019-07-09T05:40:55.000000Z,,,7000.000,emergent,nan|nan|6.222
pnsn3100128,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$33,:3,:18001",100,2019-07-09T05:40:55.000000Z,,,7000.000,emergent,4.978|8.048|8.837
pnsn3100128,thunder,CC,EH,SVIC,--,43.643,-121.253,1765.000,"bucket3$34,:3,:18001",100,2019-07-09T05:40:56.000000Z,,,7000.000,emergent,21.533|19.071|23.389
pnsn3099678,thunder,UW,EH,NN19,01,43.718,-121.307,1793.000,"bucket3$35,:3,:18001",100,2019-07-05T06:22:07.000000Z,8000.000,emergent,,,15.927|6.374|8.028
pnsn3099683,thunder,CC,BH,SWNB,--,43.673,-121.355,1569.000,"bucket3$36,:3,:18001",100,2019-07-05T05:24:51.000000Z,,,7000.000,emergent,-0.299|7.444|-0.121
pnsn3099043,thunder,CC,BH,NORM,--,43.739,-121.253,1286.000,"bucket3$37,:3,:18001",100,2019-07-01T02:59:23.000000Z,,,7000.000,emergent,16.038|13.097|18.035
pnsn3099038,thunder,CC,BH,CIHL,--,43.751,-121.149,1966.000,"bucket3$38,:3,:18001",100,2019-07-01T02:12:40.000000Z,,,7000.000,impulsive,12.865|9.494|10.890
pnsn3099033,thunder,CC,BH,CIHL,--,43.751,-121.149,1966.000,"bucket3$39,:3,:18001",100,2019-07-01T02:06:08.000000Z,,,7000.000,emergent,-14.397|-17.826|-9.043
pnsn3099028,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$40,:3,:18001",100,2019-07-01T02:00:35.000000Z,,,7000.000,emergent,nan|nan|27.703
pnsn3099023,thunder,UW,EH,NN19,01,43.718,-121.307,1793.000,"bucket3$41,:3,:18001",100,2019-07-01T01:44:53.000000Z,,,7000.000,emergent,14.682|15.291|18.673
pnsn3099018,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$42,:3,:18001",100,2019-07-01T01:42:25.000000Z,,,7000.000,emergent,nan|nan|8.392
pnsn3099013,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$43,:3,:18001",100,2019-07-01T01:30:51.000000Z,,,7000.000,emergent,-9.824|-6.733|-6.330
pnsn3099008,thunder,CC,EH,SVIC,--,43.643,-121.253,1765.000,"bucket3$44,:3,:18001",100,2019-07-01T01:03:31.000000Z,,,7000.000,emergent,3.995|3.325|5.149
pnsn3099003,thunder,CC,EH,SVIC,--,43.643,-121.253,1765.000,"bucket3$45,:3,:18001",100,2019-07-01T01:01:31.000000Z,,,7000.000,emergent,7.441|4.938|9.480
pnsn3099068,thunder,CC,BH,SWNB,--,43.673,-121.355,1569.000,"bucket3$46,:3,:18001",100,2019-06-30T01:38:49.000000Z,,,7000.000,emergent,15.085|21.148|21.904
pnsn3098703,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$47,:3,:18001",100,2019-06-26T18:06:04.000000Z,,,7000.000,emergent,7.489|-1.938|6.349
pnsn3098698,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$48,:3,:18001",100,2019-06-25T16:00:52.000000Z,,,7000.000,emergent,nan|nan|10.954
pnsn3098693,thunder,CC,BH,CIHL,--,43.751,-121.149,1966.000,"bucket3$49,:3,:18001",100,2019-06-21T16:54:56.000000Z,,,7000.000,emergent,17.145|12.432|17.599
pnsn3097348,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$50,:3,:18001",100,2019-06-17T14:38:35.000000Z,,,7000.000,emergent,-6.136|-1.424|-5.891
pnsn3098688,thunder,CC,BH,CIHL,--,43.751,-121.149,1966.000,"bucket3$51,:3,:18001",100,2019-06-12T21:10:48.000000Z,,,7000.000,emergent,9.361|9.001|5.905
pnsn3098683,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$52,:3,:18001",100,2019-06-12T21:05:34.000000Z,,,7000.000,emergent,-5.874|-6.942|-0.493
pnsn3098678,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$53,:3,:18001",100,2019-06-12T16:09:35.000000Z,,,7000.000,emergent,11.051|-0.600|0.948
pnsn3098673,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$54,:3,:18001",100,2019-06-11T18:56:21.000000Z,,,7000.000,emergent,-1.941|7.699|0.207
pnsn3098668,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$55,:3,:18001",100,2019-06-10T21:34:05.000000Z,,,7000.000,emergent,11.482|14.648|19.420
pnsn3098663,thunder,CC,BH,CIHL,--,43.751,-121.149,1966.000,"bucket3$56,:3,:18001",100,2019-06-10T17:07:22.000000Z,,,7000.000,emergent,12.329|5.865|6.936
pnsn3096073,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$57,:3,:18001",100,2019-05-30T18:31:39.000000Z,,,7000.000,emergent,35.483|37.782|37.009
pnsn3096068,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$58,:3,:18001",100,2019-05-30T18:26:43.000000Z,,,7000.000,emergent,-0.916|1.818|2.166
pnsn3096063,thunder,CC,BH,NORM,--,43.739,-121.253,1286.000,"bucket3$59,:3,:18001",100,2019-05-30T18:25:18.000000Z,,,7000.000,impulsive,10.117|10.222|11.374
pnsn3096058,thunder,CC,BH,NORM,--,43.739,-121.253,1286.000,"bucket3$60,:3,:18001",100,2019-05-30T18:15:23.000000Z,,,7000.000,emergent,0.240|8.089|6.527
pnsn3096053,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$61,:3,:18001",100,2019-05-30T18:08:01.000000Z,,,7000.000,emergent,10.022|22.922|23.845
pnsn3096048,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$62,:3,:18001",100,2019-05-30T18:03:05.000000Z,,,7000.000,emergent,0.139|1.756|6.586
pnsn3096043,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$63,:3,:18001",100,2019-05-30T17:56:53.000000Z,,,7000.000,emergent,-1.300|-6.274|-3.893
pnsn3096038,thunder,CC,BH,TMBU,--,43.602,-121.145,1743.000,"bucket3$64,:3,:18001",100,2019-05-30T17:47:19.000000Z,,,7000.000,emergent,-2.960|-13.631|-0.797
pnsn2971648,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$65,:3,:18001",100,2018-07-24T23:20:51.000000Z,,,7000.000,emergent,9.122|2.969|6.130
pnsn2971648,thunder,UW,EH,NCO,--,43.704,-121.140,1908.000,"bucket3$66,:3,:18001",100,2018-07-24T23:20:55.000000Z,,,7000.000,emergent,nan|nan|22.110
pnsn2909043,thunder,CC,BH,ASBU,--,43.821,-121.368,1538.000,"bucket3$67,:3,:18001",100,2018-05-24T23:15:28.000000Z,,,7000.000,emergent,-0.926|3.228|-3.157
pnsn2909043,thunder,CC,BH,NORM,--,43.739,-121.253,1286.000,"bucket3$68,:3,:18001",100,2018-05-24T23:15:33.000000Z,,,7000.000,emergent,0.978|0.886|-2.858
pnsn2909043,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$69,:3,:18001",100,2018-05-24T23:15:39.000000Z,,,7000.000,emergent,-9.343|-0.270|-6.027
pnsn2909258,thunder,UW,EH,NN19,01,43.718,-121.307,1793.000,"bucket3$70,:3,:18001",100,2018-05-24T22:40:15.000000Z,,,7000.000,impulsive,15.671|19.722|15.278
pnsn2909258,thunder,CC,BH,NORM,--,43.739,-121.253,1286.000,"bucket3$71,:3,:18001",100,2018-05-24T22:40:19.000000Z,,,7000.000,emergent,0.044|4.089|8.501
pnsn2909258,thunder,CC,BH,CPCO,--,43.722,-121.233,2135.000,"bucket3$72,:3,:18001",100,2018-05-24T22:40:18.000000Z,,,7000.000,emergent,19.781|20.710|19.858
pnsn2909253,thunder,CC,BH,NORM,--,43.739,-121.253,1286.000,"bucket3$73,:3,:18001",100,2018-05-24T22:37:18.000000Z,,,7000.000,emergent,-7.168|-4.517|-6.275
